# Author: CJBurke Date: 01/14/2016
# Format: %9d %11.7f %10.7f %5.2f %5.2f %02d %1d %1d %1d %6.3f
# Header Lines: 38
#################################
# Description:
# This file contains the KEES project targets observed or scheduled
#   to be observed by K2.  These are stars selected to be likely dwarf stars
#   that lie within the current ecliptic band (+/-0.26 deg of the ecliptic)
#   such that they can observe Earth transiting the Sun.  There is also
#   an expanded set of targets with a wider ecliptic band (+/- 1.0 deg)
#   that sometime within the last 100,000 years were likely able to 
#   observe the Earth transit the Sun, but currently cannot.  The targets
#   are sorted in priority order in the following order
#    1) Confirmed planets in current ecliptic band
#    2) Confirmed planets in extended ecliptic band
#    3) Candidate planets in current ecliptic band
#    4) Candidate planets in extended ecliptic band
#    5) Observed targets in current ecliptic band
#    6) Observed targets in extended ecliptic band
#   Within each numbered priority the targets are sorted by a priority
#   metric that measures the expected SNR of a transit.  This gives priority
#   to brighter stars that are late type dwarfs.  This priority metric is also
#   expected to crudely correlate with distance to target.
##########################################
# Column Description
# 1- EPIC catalog number
# 2- Right Ascencsion (2000.0) [deg] 
# 3- Declination (2000.0) [deg]
# 4- Kepler magnitude [mag]
# 5- (V-J) color
# 6- K2 observing campaign [0-8]
# 7- Current ecliptic band [1/0] - flag indicating whether ecliptic
#        latitude, abs(b)<0.26 deg
# 8- Planet candidate
# 9- Confirmed Planet
# 10- Priority lower numbers have a higher expected transit SNR
#     The highest priority targets are generally the brightest
#     and later spectral type targets
212652463 103.1214500 16.4648200 11.06  1.13 06 1 0 0 -1.683
201605103 102.1027700 17.4470500 10.52  1.37 01 1 0 0 -1.682
201792011 106.0943000 18.9949000 12.24  2.04 01 1 0 0 -1.675
206266961 100.2345500 22.7503700 11.97  1.57 03 1 0 0 -1.659
201777354  99.3530800 22.0202700 10.25  1.53 01 1 0 0 -1.639
210706369 101.4425900 27.3017900 14.36  3.27 04 1 0 0 -1.632
220402599 102.0114000 17.0234500  9.98  1.11 08 1 0 0 -1.617
220361750 102.9451000 25.8087300 11.33  1.60 08 1 0 0 -1.616
212593714  91.3200100 20.4663500 11.37  1.60 06 1 0 0 -1.614
212659449 101.9313800 15.5654800 11.50  1.42 06 1 0 0 -1.613
201594171 100.3486400 15.8384200 12.93  1.52 01 1 0 0 -1.601
220372405  95.3553400 21.2261800 13.68  2.81 08 1 0 0 -1.592
212535624  94.0395000 24.0163200 11.42  1.06 06 1 0 0 -1.592
206136035  94.7079800 24.6891500 11.02  1.40 03 1 0 0 -1.592
206087303 103.3074300 16.3226100 12.36  1.88 03 1 0 0 -1.583
220366897  93.6357600 27.3497600 14.17  1.39 08 1 0 0 -1.568
212696078 101.6143700 25.9286700 12.27  1.17 06 1 0 0 -1.566
206128602  94.6223260 24.8199010  9.57  1.10 03 1 0 0 -1.557
211957528  95.0006400 18.2534200 10.02  1.12 05 1 0 0 -1.552
201780964  92.7335400 20.6089700 11.44  1.21 01 1 0 0 -1.549
201770991  99.3012000 16.8346200 15.47  2.27 01 1 0 0 -1.542
212592263  95.9355700 22.2764200 13.98  3.19 06 1 0 0 -1.541
206100982 103.2049700 17.0739800 10.91  1.56 03 1 0 0 -1.538
211802503  99.6023400 14.8435000 14.58  2.31 05 1 0 0 -1.534
204811388  91.8838200 23.8598600  9.21  1.32 02 1 0 0 -1.533
220428555  94.9029100 24.9907700 14.45  3.60 08 1 0 0 -1.524
216017588  98.9641600 15.3128500 12.50  2.16 07 1 0 0 -1.517
211938389  91.9826800 23.3237000 13.36  1.55 05 1 0 0 -1.466
206141039  94.7569500 24.6609300  8.90  0.99 03 1 0 0 -1.462
220536487 101.0133600 25.5538100 10.71  1.32 08 1 0 0 -1.441
216080188  94.4658400 23.1207000 12.33  2.73 07 1 0 0 -1.436
212571600 101.7047800 24.8512200 11.55  1.54 06 1 0 0 -1.429
212721223  94.5574200 27.7992500 10.02  1.07 06 1 0 0 -1.420
212612580 104.0365200 25.5772500 11.89  1.23 06 1 0 0 -1.412
206146648 104.2939600 25.5837000 12.17  1.84 03 1 0 0 -1.404
204886772  90.7595200 22.8251700 13.12  2.93 02 1 0 0 -1.387
201710150  95.7076300 15.4671700 12.76  1.31 01 1 0 0 -1.374
206082716  95.1359700 26.0822900 13.68  3.70 03 1 0 0 -1.372
211895307 101.8932300 17.2304500 10.90  1.35 05 1 0 0 -1.363
212588446  93.3392100 25.3204200 11.82  1.65 06 1 0 0 -1.356
210756808 102.9493200 25.1202500 11.55  1.69 04 1 0 0 -1.355
206255879  99.8158700 18.8311300  9.36  1.40 03 1 0 0 -1.348
206081834  94.1365000 25.8325800 12.52  1.59 03 1 0 0 -1.327
211920671  94.8608600 21.6726600 15.42  3.26 05 1 0 0 -1.317
204928460  91.6543300 24.3106700 12.28  1.50 02 1 0 0 -1.305
220534009  94.4653100 22.8703600 10.76  0.99 08 1 0 0 -1.294
212559740  94.3818200 27.6450300 11.39  1.67 06 1 0 0 -1.287
201776914  93.0921400 18.0160800 10.19  0.95 01 1 0 0 -1.286
212600313 101.9483100 21.6018300 11.11  1.34 06 1 0 0 -1.258
210737313 102.0703800 22.6999000 13.97  1.65 04 1 0 0 -1.256
201785130  90.6525000 22.2341000 10.04  0.96 01 1 0 0 -1.251
211811398  96.1857000 15.2893800 13.20  2.78 05 1 0 0 -1.246
220463568  95.0608300 25.7691500 12.75  1.25 08 1 0 0 -1.241
201545865  97.8906710 26.7182960 11.46  0.91 01 1 0 0 -1.238
216018037 101.5878400 26.1657800 12.50  2.41 07 1 0 0 -1.212
204673123  97.5050000 16.4264000 12.39  1.79 02 1 0 0 -1.212
204801910 103.3969420 24.7452500  9.86  1.29 02 1 0 0 -1.211
206178160  95.6586400 24.7447400 11.10  0.93 03 1 0 0 -1.204
220401953  95.1285400 27.4236300 13.96  1.20 08 1 0 0 -1.202
220400606  96.0623600 19.2351200 10.60  1.49 08 1 0 0 -1.199
220369810  91.4699400 22.1470500 14.55  3.61 08 1 0 0 -1.198
212690052  93.6272500 18.8907500 13.43  2.85 06 1 0 0 -1.176
204590812  93.4867100 17.1836900 13.19  1.57 02 1 0 0 -1.170
204858608 100.3728300 21.2303100 12.24  2.05 02 1 0 0 -1.166
206231694  98.2499400 20.7034300 11.21  1.30 03 1 0 0 -1.162
212665824  92.2261200 21.6401400 11.90  1.45 06 1 0 0 -1.157
211930916  92.6168900 22.8742800 13.41  3.70 05 1 0 0 -1.146
201761997  96.7747300 17.3489400 10.07  1.14 01 1 0 0 -1.137
201599980 100.5406900 15.1559400 13.29  2.22 01 1 0 0 -1.132
220392354  99.6287600 16.8965600 13.07  1.89 08 1 0 0 -1.131
220404775  97.5157700 24.1059700  9.70  1.13 08 1 0 0 -1.121
220350324  94.9288600 24.3996600 11.74  1.73 08 1 0 0 -1.120
216470880  97.4332500 25.0300800 12.30  2.26 07 1 0 0 -1.105
204810792  92.4467800 22.7019300  8.23  1.25 02 1 0 0 -1.104
206105787  94.9282900 23.9173900 12.97  1.85 03 1 0 0 -1.101
201594052 100.3213400 15.5648800 10.91  1.07 01 1 0 0 -1.098
206102047 103.2271800 17.6313900 12.24  1.78 03 1 0 0 -1.093
206091569 102.5061800 15.2973400 15.24  3.61 03 1 0 0 -1.092
210865128  92.4693100 17.6099000  9.62  1.68 04 1 0 0 -1.079
211918010  92.8685100 21.3247400 13.26  2.53 05 1 0 0 -1.079
210859443  92.5117700 17.3856400 15.13  3.74 04 1 0 0 -1.076
206099066  97.9380200 26.8573100 12.53  1.20 03 1 0 0 -1.061
212707743  96.5391100 15.8581100 13.08  1.44 06 1 0 0 -1.059
201579400  94.9235300 23.2889600 10.91  1.39 01 1 0 0 -1.051
204621279  98.6056700 17.7030300 12.39  2.21 02 1 0 0 -1.049
201576206  92.2221700 23.8077900 12.64  2.55 01 1 0 0 -1.046
204879057  91.7141300 22.0812700  9.53  1.28 02 1 0 0 -1.041
210870563  94.9698400 17.7944300 11.04  1.71 04 1 0 0 -1.034
206131053  94.7406420 24.7895320 10.68  1.36 03 1 0 0 -1.032
204585236  99.4336400 19.9486600 13.17  2.33 02 1 0 0 -1.030
220441070  93.0658300 17.7539300  9.98  0.95 08 1 0 0 -1.030
216662737 101.5358900 23.8675400  9.55  1.28 07 1 0 0 -1.029
210829886  92.6371300 16.9522700 13.07  3.12 04 1 0 0 -1.026
